# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.175
metadata : {}


# id : NWRW1800000025.175.1.1
[오늘 밤 이 경기]독일 vs 세르비아, 슬로베니아 vs 미국

[오늘	[/SS+오늘/NNG
오후	오후/NNG
8시	8/SN+시/NNB
30분	30/SN+분/NNB
포트엘리자베스	포트엘리자베스/NNP
넬슨만델라베이	넬슨만델라베이/NNP
경기장에서	경기장/NNG+에서/JKB
죽음의	죽음/NNG+의/JKG
D조	D/SL+조/NNG
판도를	판도/NNG+를/JKO
좌우할	좌우/NNG+하/XSV+ㄹ/ETM
일전을	일전/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.175.4.1
세르비아는 13일 D조 2위를 다툴 것으로 예상됐던 가나에 덜미를 잡히면서 수비 축구를 펼칠 수 없게 됐다.

세르비아는	세르비아/NNP+는/JX
13일	13/SN+일/NNB
D조	D/SL+조/NNG
2위를	2/SN+위/NNB+를/JKO
다툴	다투/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
가나에	가나/NNP+에/JKB
덜미를	덜미/NNG+를/JKO
잡히면서	잡히/VV+면서/EC
수비	수비/NNG
축구를	축구/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.175.4.2
독일에 패한다면 사실상 16강 진출이 좌절되는 만큼 파상공세를 펼칠 것으로 예상된다.

독일에	독일/NNP+에/JKB
패한다면	패/NNG+하/XSV+ㄴ다면/EC
사실상	사실/NNG+상/XSN
16강	16/SN+강/NNB
진출이	진출/NNG+이/JKS
좌절되는	좌절/NNG+되/XSV+는/ETM
만큼	만큼/NNB
파상공세를	파상/NNG+공세/NNG+를/JKO
펼칠	펼치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상된다.	예상/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.175.4.3
창과 방패가 아닌, 창과 창의 대결이 될 가능성이 높은 이유다.

창과	창/NNG+과/JC
방패가	방패/NNG+가/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
창의	창/NNG+의/JKG
대결이	대결/NNG+이/JKC
될	되/VV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
높은	높/VA+은/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.175.4.4
가나전에서 침묵했던 202cm의 ‘공중 폭격기’ 니콜라 지기치와 밀란 요바노비치 등 공격수들의 부활이 승부의 관건이다.

가나전에서	가나전/NNG+에서/JKB
침묵했던	침묵/NNG+하/XSV+았/EP+던/ETM
202cm의	202/SN+cm/SW+의/JKG
‘공중	‘/SS+공중/NNG
폭격기’	폭격기/NNG+’/SS
니콜라	니콜라/NNP
지기치와	지기치/NNP+와/JC
밀란	밀란/NNP
요바노비치	요바노비치/NNP
등	등/NNB
공격수들의	공격수/NNG+들/XSN+의/JKG
부활이	부활/NNG+이/JKS
승부의	승부/NNG+의/JKG
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.175.5.1
14일 호주를 4-0으로 대파한 독일은 세르비아도 잡고 16강행을 확정할 태세다.

14일	14/SN+일/NNB
호주를	호주/NNP+를/JKO
4-0으로	4/SN+-/SO+0/SN+으로/JKB
대파한	대파/NNG+하/XSV+ㄴ/ETM
독일은	독일/NNP+은/JX
세르비아도	세르비아/NNP+도/JX
잡고	잡/VV+고/EC
16강행을	16강행/NNG+을/JKO
확정할	확정/NNG+하/XSV+ㄹ/ETM
태세다.	태세/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.175.5.2
독일은 지난 시즌 소속팀에서 부진했던 클로제와 루카스 포돌스키의 골까지 터지며 근심을 덜었다.

독일은	독일/NNP+은/JX
지난	지나/VV+ㄴ/ETM
시즌	시즌/NNG
소속팀에서	소속/NNG+팀/NNG+에서/JKB
부진했던	부진/NNG+하/XSA+았/EP+던/ETM
클로제와	클로제/NNP+와/JC
루카스	루카스/NNP
포돌스키의	포돌스키/NNP+의/JKG
골까지	골/NNG+까지/JX
터지며	터지/VV+며/EC
근심을	근심/NNG+을/JKO
덜었다.	덜/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.175.5.3
특히 월드컵 통산 11호 골을 기록한 ‘득점기계’ 클로제는 브라질 호나우두(15골)의 월드컵 최다골 기록을 넘어서겠다는 각오다.

특히	특히/MAG
월드컵	월드컵/NNG
통산	통산/NNG
11호	11/SN+호/NNB
골을	골/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
‘득점기계’	‘/SS+득점/NNG+기계/NNG+’/SS
클로제는	클로제/NNP+는/JX
브라질	브라질/NNP
호나우두(15골)의	호나우두/NNP+(/SS+15/SN+골/NNG+)/SS+의/JKG
최다골	최다/NNG+골/NNG
기록을	기록/NNG+을/JKO
넘어서겠다는	넘어서/VV+겠/EP+다는/ETM
각오다.	각오/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.175.6.1
○ “중거리포로 美 골문 열어주마” “강한 허리압박으로 첫승 사냥”

○	○/SW
“중거리포로	“/SS+중거리/NNG+포/NNG+로/JKB
美	美/SH
골문	골문/NNG
열어주마”	열/VV+어/EC+주/VX+마/EF+”/SS
“강한	“/SS+강하/VA+ㄴ/ETM
허리압박으로	허리/NNG+압박/NNG+으로/JKB
첫승	첫/MMN+승/NNG
사냥”	사냥/NNG+”/SS


# id : NWRW1800000025.175.7.1
:C조: 감격의 월드컵 첫 승을 올린 슬로베니아와 남아공 월드컵 첫 승에 목마른 미국.

:C조:	:/SP+C/SL+조/NNG+:/SP
감격의	감격/NNG+의/JKG
월드컵	월드컵/NNG
첫	첫/MMN
승을	승/NNG+을/JKO
올린	올리/VV+ㄴ/ETM
슬로베니아와	슬로베니아/NNP+와/JC
남아공	남아공/NNP
승에	승/NNG+에/JKB
목마른	목마르/VA+ㄴ/ETM
미국.	미국/NNP+./SF


# id : NWRW1800000025.175.7.2
두 팀이 18일 오후 11시 남아공 요하네스버그 엘리스파크 경기장에서 격돌한다.

두	두/MMN
팀이	팀/NNG+이/JKS
18일	18/SN+일/NNB
오후	오후/NNG
11시	11/SN+시/NNB
남아공	남아공/NNP
요하네스버그	요하네스버그/NNP
엘리스파크	엘리스파크/NNP
경기장에서	경기장/NNG+에서/JKB
격돌한다.	격돌/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.175.8.1
두 번째 월드컵 출전, 네 번째 경기 만에 첫 승을 신고한 슬로베니아.

두	두/MMN
번째	번/NNB+째/XSN
월드컵	월드컵/NNG
출전,	출전/NNG+,/SP
네	네/MMN
경기	경기/NNG
만에	만/NNB+에/JKB
첫	첫/MMN
승을	승/NNG+을/JKO
신고한	신고/NNG+하/XSV+ㄴ/ETM
슬로베니아.	슬로베니아/NNP+./SF


# id : NWRW1800000025.175.8.2
하지만 C조 최약체 알제리를 잡은 것만으로 16강을 장담할 순 없다.

하지만	하지만/MAJ
C조	C/SL+조/NNG
최약체	최/XPN+약체/NNG
알제리를	알제리/NNP+를/JKO
잡은	잡/VV+은/ETM
것만으로	것/NNB+만/JX+으로/JKB
16강을	16/SN+강/NNB+을/JKO
장담할	장담/NNG+하/XSV+ㄹ/ETM
순	수/NNB+ㄴ/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000025.175.8.3
조별리그 마지막 경기 상대가 최강 잉글랜드인 만큼 미국을 상대로 승점을 챙겨야 하는 상황이다.

조별리그	조별/NNG+리그/NNG
마지막	마지막/NNG
경기	경기/NNG
상대가	상대/NNG+가/JKS
최강	최강/NNG
잉글랜드인	잉글랜드/NNP+이/VCP+ㄴ/ETM
만큼	만큼/NNB
미국을	미국/NNP+을/JKO
상대로	상대/NNG+로/JKB
승점을	승점/NNG+을/JKO
챙겨야	챙기/VV+어야/EC
하는	하/VX+는/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.175.8.4
명품 중거리포로 알제리전 결승골을 터뜨린 주장 로베르트 코렌이 다시 한 번 끈끈한 조직력의 중심에 선다.

명품	명품/NNG
중거리포로	중거리/NNG+포/NNG+로/JKB
알제리전	알제리전/NNG
결승골을	결승/NNG+골/NNG+을/JKO
터뜨린	터뜨리/VV+ㄴ/ETM
주장	주장/NNG
로베르트	로베르트/NNP
코렌이	코렌/NNP+이/JKS
다시	다시/MAG
한	한/MMN
번	번/NNB
끈끈한	끈끈하/VA+ㄴ/ETM
조직력의	조직력/NNG+의/JKG
중심에	중심/NNG+에/JKB
선다.	서/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.175.9.1
13일 잉글랜드 골키퍼 로버트 그린의 실수로 행운의 승점 1점을 따낸 미국의 분위기도 나쁘진 않다.

13일	13/SN+일/NNB
잉글랜드	잉글랜드/NNP
골키퍼	골키퍼/NNG
로버트	로버트/NNP
그린의	그린/NNP+의/JKG
실수로	실수/NNG+로/JKB
행운의	행운/NNG+의/JKG
승점	승점/NNG
1점을	1/SN+점/NNB+을/JKO
따낸	따내/VV+ㄴ/ETM
미국의	미국/NNP+의/JKG
분위기도	분위기/NNG+도/JX
나쁘진	나쁘/VA+지/EC+ㄴ/JX
않다.	않/VX+다/EF+./SF


# id : NWRW1800000025.175.9.2
이 기세로 슬로베니아를 잡고 16강의 7분 능선을 넘겠다는 생각이다.

이	이/MMD
기세로	기세/NNG+로/JKB
슬로베니아를	슬로베니아/NNP+를/JKO
잡고	잡/VV+고/EC
16강의	16/SN+강/NNB+의/JKG
7분	7/SN+분/XSN
능선을	능선/NNG+을/JKO
넘겠다는	넘/VV+겠/EP+다는/ETM
생각이다.	생각/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.175.9.3
랜던 도너번을 중심으로 잉글랜드를 거세게 몰아붙였던 미드필더진이 슬로베니아를 압박할 것으로 보인다.

랜던	랜던/NNP
도너번을	도너번/NNP+을/JKO
중심으로	중심/NNG+으로/JKB
잉글랜드를	잉글랜드/NNP+를/JKO
거세게	거세/VA+게/EC
몰아붙였던	몰아붙이/VV+었/EP+던/ETM
미드필더진이	미드필더진/NNG+이/JKS
슬로베니아를	슬로베니아/NNP+를/JKO
압박할	압박/NNG+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.175.9.4
조지 알티도어, 클린트 뎀프시 등이 공격 선봉에 선다.

조지	조지/NNP
알티도어,	알티도어/NNP+,/SP
클린트	클린트/NNP
뎀프시	뎀프시/NNP
등이	등/NNB+이/JKS
공격	공격/NNG
선봉에	선봉/NNG+에/JKB
선다.	서/VV+ㄴ다/EF+./SF


