# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000044.390
metadata : {}


# id : NWRW1800000044.390.1.1
‘MB 집사’ 아들 근무회사에 248억 자문료 줬다

‘MB	‘/SS+MB/SL
없다”고	없/VA+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.390.6.3
노영민 진상조사위 위원장은 “석유공사에 자문을 한 메릴린치의 서울지점장은 속칭 ‘이명박 전 대통령 집사’로 불리던 김백준 전 청와대 총무비서관의 아들인 김형찬씨”라며 특혜 의혹을 제기했다.

노영민	노영민/NNP
진상조사위	진상/NNG+조사위/NNG
위원장은	위원장/NNG+은/JX
“석유공사에	“/SS+석유공사/NNP+에/JKB
자문을	자문/NNG+을/JKO
한	하/VV+ㄴ/ETM
메릴린치의	메릴린치/NNP+의/JKG
서울지점장은	서울/NNP+지점장/NNG+은/JX
속칭	속칭/NNG
‘이명박	‘/SS+이명박/NNP
전	전/MMD
대통령	대통령/NNG
집사’로	집사/NNG+’/SS+로/JKB
불리던	불리/VV+던/ETM
김백준	김백준/NNP
청와대	청와대/NNP
총무비서관의	총무/NNG+비서관/NNG+의/JKG
아들인	아들/NNG+이/VCP+ㄴ/ETM
김형찬씨”라며	김형찬/NNP+씨/NNB+”/SS+이/VCP+라며/EC
특혜	특혜/NNG
의혹을	의혹/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.390.6.4
새정치연합은 김씨가 2008년부터 현재까지 메릴린치 서울지점장으로 근무하고 있다고 밝혔다.

새정치연합은	새정치연합/NNP+은/JX
김씨가	김/NNP+씨/NNB+가/JKS
2008년부터	2008/SN+년/NNB+부터/JX
현재까지	현재/NNG+까지/JX
메릴린치	메릴린치/NNP
서울지점장으로	서울/NNP+지점장/NNG+으로/JKB
근무하고	근무/NNG+하/XSV+고/EC
있다고	있/VX+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000044.390.7.1
진상조사위가 석유공사로부터 제출받은 자료를 보면, 석유공사가 2008~2010년 신규투자한 18조원의 자원개발 사업 가운데 12조원에 달하는 4건의 대형 해외투자 사업에 대해 메릴린치의 자문을 받았고, 248억원의 자문료를 지급했다.

진상조사위가	진상/NNG+조사위/NNG+가/JKS
석유공사로부터	석유공사/NNP+로부터/JKB
제출받은	제출/NNG+받/XSV+은/ETM
자료를	자료/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
석유공사가	석유공사/NNP+가/JKS
2008~2010년	2008/SN+~/SO+2010/SN+년/NNB
신규투자한	신규/NNG+투자/NNG+하/XSV+ㄴ/ETM
18조원의	18/SN+조/NR+원/NNB+의/JKG
자원개발	자원/NNG+개발/NNG
사업	사업/NNG
가운데	가운데/NNG
12조원에	12/SN+조/NR+원/NNB+에/JKB
달하는	달하/VV+는/ETM
4건의	4/SN+건/NNB+의/JKG
대형	대형/NNG
해외투자	해외/NNG+투자/NNG
사업에	사업/NNG+에/JKB
대해	대하/VV+아/EC
메릴린치의	메릴린치/NNP+의/JKG
자문을	자문/NNG+을/JKO
받았고,	받/VV+았/EP+고/EC+,/SP
248억원의	248/SN+억/NR+원/NNB+의/JKG
자문료를	자문료/NNG+를/JKO
지급했다.	지급/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.390.7.2
4건의 사업은 최근 1조원이 넘는 손실을 기록한 것으로 알려져 부실 논란에 휩싸인 캐나다 유전업체 하베스트 인수와 미국의 유전·셰일가스 유정인 ‘앵커·이글포드’ 개발 참여, 영국의 유전개발사인 다나 인수 등이다.

4건의	4/SN+건/NNB+의/JKG
사업은	사업/NNG+은/JX
최근	최근/MAG
1조원이	1/SN+조/NR+원/NNB+이/JKS
넘는	넘/VV+는/ETM
손실을	손실/NNG+을/JKO
기록한	기록/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려져	알려지/VV+어/EC
부실	부실/NNG
논란에	논란/NNG+에/JKB
휩싸인	휩싸이/VV+ㄴ/ETM
캐나다	캐나다/NNP
유전업체	유전/NNG+업체/NNG
하베스트	하베스트/NNP
인수와	인수/NNG+와/JC
미국의	미국/NNP+의/JKG
유전·셰일가스	유전/NNG+·/SP+셰일/NNG+가스/NNG
유정인	유정/NNG+이/VCP+ㄴ/ETM
‘앵커·이글포드’	‘/SS+앵커/NNP+·/SP+이글포드/NNP+’/SS
개발	개발/NNG
참여,	참여/NNG+,/SP
영국의	영국/NNP+의/JKG
유전개발사인	유전/NNG+개발사/NNG+이/VCP+ㄴ/ETM
다나	다나/NNP
인수	인수/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.390.8.1
진상조사위는 “메릴린치 자문사 선정 과정도 의혹투성이”라고 지적했다.

진상조사위는	진상/NNG+조사위/NNG+는/JX
“메릴린치	“/SS+메릴린치/NNP
자문사	자문사/NNG
선정	선정/NNG
과정도	과정/NNG+도/JX
의혹투성이”라고	의혹/NNG+투성이/XSN+”/SS+라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.390.8.2
석유공사가 하베스트 인수를 제외한 3건의 사업은 메릴린치로 선정할 때 자문사 선정 절차를 거치지 않았다는 것이다.

석유공사가	석유공사/NNP+가/JKS
하베스트	하베스트/NNP
인수를	인수/NNG+를/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
3건의	3/SN+건/NNB+의/JKG
사업은	사업/NNG+은/JX
메릴린치로	메릴린치/NNP+로/JKB
선정할	선정/NNG+하/XSV+ㄹ/ETM
때	때/NNG
자문사	자문사/NNG
선정	선정/NNG
절차를	절차/NNG+를/JKO
거치지	거치/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000044.390.8.3
또 하베스트 자문사 선정 절차도 특혜 의혹이 나오고 있다.

또	또/MAG
하베스트	하베스트/NNP
자문사	자문사/NNG
선정	선정/NNG
절차도	절차/NNG+도/JX
특혜	특혜/NNG
의혹이	의혹/NNG+이/JKS
나오고	나오/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000044.390.8.4
진상조사위 위원인 부좌현 의원은 석유공사가 2009년 3월 해외투자 자문사를 선정하기 위해 진행한 평가에서 지표가 분명한 계량평가에서 메릴린치가 낮은 점수를 받아 하위권에 머물렀지만, 심사위원의 판단이 개입되는 비계량적 평가에서 높은 점수를 받으며 자문사로 선정됐다는 의혹을 제기했다.

진상조사위	진상/NNG+조사위/NNG
위원인	위원/NNG+이/VCP+ㄴ/ETM
부좌현	부좌현/NNP
의원은	의원/NNG+은/JX
석유공사가	석유공사/NNP+가/JKS
2009년	2009/SN+년/NNB
3월	3/SN+월/NNB
해외투자	해외/NNG+투자/NNG
자문사를	자문사/NNG+를/JKO
선정하기	선정/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
진행한	진행/NNG+하/XSV+ㄴ/ETM
평가에서	평가/NNG+에서/JKB
지표가	지표/NNG+가/JKS
분명한	분명/MAG+하/XSA+ㄴ/ETM
계량평가에서	계량/NNG+평가/NNG+에서/JKB
메릴린치가	메릴린치/NNP+가/JKS
낮은	낮/VA+은/ETM
점수를	점수/NNG+를/JKO
받아	받/VV+아/EC
하위권에	하위/NNG+권/XSN+에/JKB
머물렀지만,	머무르/VV+었/EP+지만/EC+,/SP
심사위원의	심사/NNG+위원/NNG+의/JKG
판단이	판단/NNG+이/JKS
개입되는	개입/NNG+되/XSV+는/ETM
비계량적	비/XPN+계량/NNG+적/XSN
높은	높/VA+은/ETM
받으며	받/VV+으며/EC
자문사로	자문사/NNG+로/JKB
선정됐다는	선정/NNG+되/XSV+었/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.390.9.1
이에 대해 석유공사 관계자는 “당시 자문사로 선정된 회사는 ‘메릴린치 뉴욕’으로 서울지점은 입찰서류를 전달하는 역할만 했다”고 의혹을 부인했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
석유공사	석유공사/NNP
관계자는	관계자/NNG+는/JX
“당시	“/SS+당시/NNG
자문사로	자문사/NNG+로/JKB
선정된	선정/NNG+되/XSV+ㄴ/ETM
회사는	회사/NNG+는/JX
‘메릴린치	‘/SS+메릴린치/NNP
뉴욕’으로	뉴욕/NNP+’/SS+으로/JKB
서울지점은	서울/NNP+지점/NNG+은/JX
입찰서류를	입찰/NNG+서류/NNG+를/JKO
전달하는	전달/NNG+하/XSV+는/ETM
역할만	역할/NNG+만/JX
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
의혹을	의혹/NNG+을/JKO
부인했다.	부인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000044.390.9.2
3개 사업의 경우 자문사 선정 절차를 거치지 않았다는 새정치연합의 주장에 대해서는 “하베스트 투자 당시 공정한 자문사 선정 절차를 거쳤고, 그 뒤 2개 사업은 메릴린치에 유망 투자 지역 검토를 의뢰해 결정한 것”이라고 해명했다.

3개	3/SN+개/NNB
사업의	사업/NNG+의/JKG
경우	경우/NNG
자문사	자문사/NNG
선정	선정/NNG
절차를	절차/NNG+를/JKO
거치지	거치/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
새정치연합의	새정치연합/NNP+의/JKG
주장에	주장/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
“하베스트	“/SS+하베스트/NNP
투자	투자/NNG
당시	당시/NNG
공정한	공정/NNG+하/XSA+ㄴ/ETM
거쳤고,	거치/VV+었/EP+고/EC+,/SP
그	그/MMD
뒤	뒤/NNG
2개	2/SN+개/NNB
사업은	사업/NNG+은/JX
메릴린치에	메릴린치/NNP+에/JKB
유망	유망/NNG
지역	지역/NNG
검토를	검토/NNG+를/JKO
의뢰해	의뢰/NNG+하/XSV+아/EC
결정한	결정/NNG+하/XSV+ㄴ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


