# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.261
metadata : {}


# id : NWRW1800000024.261.1.1
벤처기술 ‘디자인 날개’ 달다

벤처기술	벤처/NNG+기술/NNG
기술력에	기술력/NNG+에/JKB
디자인의	디자인/NNG+의/JKG
힘을	힘/NNG+을/JKO
더하면	더/MAG+하/XSV+면/EC
부가가치와	부가/NNG+가치/NNG+와/JC
경쟁력을	경쟁력/NNG+을/JKO
크게	크/VA+게/EC
높일	높이/VV+ㄹ/ETM
수	수/NNB
있다”며	있/VA+다/EF+”/SS+며/EC
“단지	“/SS+단지/MAG
제품	제품/NNG
디자인뿐	디자인/NNG+뿐/JX
아니라	아니/VCN+라/EC
콘셉트와	콘셉트/NNG+와/JC
제조·포장·마케팅까지	제조/NNG+·/SP+포장/NNG+·/SP+마케팅/NNG+까지/JX
비즈니스	비즈니스/NNG
전	전/MMN
과정에서	과정/NNG+에서/JKB
통일성	통일/NNG+성/XSN
있는	있/VA+는/ETM
관리가	관리/NNG+가/JKS
필요하다”고	필요/NNG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


