# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000049.362
metadata : {}


# id : NWRW1800000049.362.1.1
[단독]‘먹통 위성’ 국민 속인 미래부

[단독]‘먹통	[/SS+단독/NNG+]/SS+‘/SS+먹통/NNG
임무인	임무/NNG+이/VCP+ㄴ/ETM
지구	지구/NNG
관측만	관측/NNG+만/JX
간헐적으로	간헐/NNG+적/XSN+으로/JKB
수행한	수행/NNG+하/XSV+ㄴ/ETM
‘먹통	‘/SS+먹통/NNG
위성’인	위성/NNG+’/SS+이/VCP+ㄴ/ETM
상태였다.	상태/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000049.362.5.1
과학기술위성을 관리하는 한국천문연구원은 당초 과학기술위성 3호의 임무가 종료된 후 민간사업자 등에게 필요한 우주 관측 영상을 제공한다는 계획까지 세웠지만 지난해 5월 냉각기 작동이 멈추자 민간사업자 모집을 갑자기 중단하기도 했다.

과학기술위성을	과학/NNG+기술/NNG+위성/NNG+을/JKO
관리하는	관리/NNG+하/XSV+는/ETM
한국천문연구원은	한국천문연구원/NNP+은/JX
당초	당초/NNG
과학기술위성	과학/NNG+기술/NNG+위성/NNG
3호의	3/SN+호/NNB+의/JKG
임무가	임무/NNG+가/JKS
종료된	종료/NNG+되/XSV+ㄴ/ETM
후	후/NNG
민간사업자	민간사업자/NNG
등에게	등/NNB+에게/JKB
필요한	필요/NNG+하/XSA+ㄴ/ETM
우주	우주/NNG
관측	관측/NNG
영상을	영상/NNG+을/JKO
제공한다는	제공/NNG+하/XSV+ㄴ다는/ETM
계획까지	계획/NNG+까지/JX
세웠지만	세우/VV+었/EP+지만/EC
지난해	지난해/NNG
5월	5/SN+월/NNB
냉각기	냉각기/NNG
작동이	작동/NNG+이/JKS
멈추자	멈추/VV+자/EC
모집을	모집/NNG+을/JKO
갑자기	갑자기/MAG
중단하기도	중단/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000049.362.6.1
그런데도 미래부는 지난해 11월 23일자 보도자료를 통해 “과학기술위성 3호가 2년간의 임무를 성공적으로 완수했다”고 밝혔다.

그런데도	그렇/VA+ㄴ데/EC+도/JX
미래부는	미래부/NNG+는/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
23일자	23/SN+일/NNB+자/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
통해	통하/VV+아/EC
“과학기술위성	“/SS+과학/NNG+기술/NNG+위성/NNG
3호가	3/SN+호/NNB+가/JKS
2년간의	2/SN+년/NNB+간/XSN+의/JKG
임무를	임무/NNG+를/JKO
성공적으로	성공/NNG+적/XSN+으로/JKB
완수했다”고	완수/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000049.362.7.1
이에 대해 미래부와 과학기술위성 3호의 개발 주관기관인 한국항공우주연구원 측은 “6개월간 우주 관측이 이뤄지지 않은 것은 맞지만 우주 관측 카메라의 기대수명이 2년에 못 미치리란 것은 처음부터 예측했던 것”이라며 “필요한 자료는 모두 확보했다”고 해명했다.

이에	이/NP+에/JKB
대해	대하/VV+아/EC
미래부와	미래부/NNG+와/JC
과학기술위성	과학/NNG+기술/NNG+위성/NNG
3호의	3/SN+호/NNB+의/JKG
개발	개발/NNG
주관기관인	주관/NNG+기관/NNG+이/VCP+ㄴ/ETM
한국항공우주연구원	한국항공우주연구원/NNP
측은	측/NNB+은/JX
“6개월간	“/SS+6/SN+개월/NNB+간/XSN
우주	우주/NNG
관측이	관측/NNG+이/JKS
이뤄지지	이뤄지/VV+지/EC
않은	않/VX+은/ETM
것은	것/NNB+은/JX
맞지만	맞/VV+지만/EC
관측	관측/NNG
카메라의	카메라/NNG+의/JKG
기대수명이	기대/NNG+수명/NNG+이/JKS
2년에	2/SN+년/NNB+에/JKB
못	못/MAG
미치리란	미치/VV+리란/ETM
처음부터	처음/NNG+부터/JX
예측했던	예측/NNG+하/XSV+았/EP+던/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“필요한	“/SS+필요/NNG+하/XSA+ㄴ/ETM
자료는	자료/NNG+는/JX
모두	모두/MAG
확보했다”고	확보/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000049.362.7.2
그러나 미래부의 보도자료에는 우주 관측 카메라에 대해 ‘노후화된 상태’라고만 돼 있을 뿐 수명이 다했다는 내용은 전혀 들어 있지 않다.

그러나	그러나/MAJ
미래부의	미래부/NNG+의/JKG
보도자료에는	보도/NNG+자료/NNG+에/JKB+는/JX
우주	우주/NNG
관측	관측/NNG
카메라에	카메라/NNG+에/JKB
대해	대하/VV+아/EC
‘노후화된	‘/SS+노후/NNG+화/XSN+되/XSV+ㄴ/ETM
상태’라고만	상태/NNG+’/SS+이라고/JKQ+만/JX
돼	되/VV+어/EC
있을	있/VX+을/ETM
뿐	뿐/NNB
수명이	수명/NNG+이/JKS
다했다는	다/MAG+하/XSV+았/EP+다는/ETM
내용은	내용/NNG+은/JX
전혀	전혀/MAG
들어	들/VV+어/EC
있지	있/VX+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000049.362.7.3
또 천문연구원 자료에 ‘지난해 연구 목표였던 우주 관측이 검출기 냉각기 수명 완료로 수행되지 못했다’고 명시돼 있는 것과도 모순된다.

또	또/MAG
천문연구원	천문/NNG+연구원/NNG
자료에	자료/NNG+에/JKB
‘지난해	‘/SS+지난해/NNG
연구	연구/NNG
목표였던	목표/NNG+이/VCP+었/EP+던/ETM
우주	우주/NNG
관측이	관측/NNG+이/JKS
검출기	검출기/NNG
냉각기	냉각기/NNG
수명	수명/NNG
완료로	완료/NNG+로/JKB
수행되지	수행/NNG+되/XSV+지/EC
못했다’고	못하/VX+았/EP+다/EF+’/SS+고/JKQ
명시돼	명시/NNG+되/XSV+어/EC
있는	있/VX+는/ETM
것과도	것/NNB+과/JKB+도/JX
모순된다.	모순/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000049.362.8.1
김 의원은 “적절한 우주사업 예산 책정과 계획을 수립하기 위해 관련 기관에 대한 관리감독 체계를 정비해야 한다”고 강조했다.

김	김/NNP
의원은	의원/NNG+은/JX
“적절한	“/SS+적절하/VA+ㄴ/ETM
우주사업	우주/NNG+사업/NNG
예산	예산/NNG
책정과	책정/NNG+과/JC
계획을	계획/NNG+을/JKO
수립하기	수립/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
관련	관련/NNG
기관에	기관/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
관리감독	관리/NNG+감독/NNG
체계를	체계/NNG+를/JKO
정비해야	정비/NNG+하/XSV+아야/EC
한다”고	하/VX+ㄴ다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


