# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.143
metadata : {}


# id : NWRW1800000036.143.1.1
“스타는 원치 않아…연기 잘하고 싶을뿐”

“스타는	“/SS+스타/NNG+는/JX
당연한	당연/NNG+하/XSA+ㄴ/ETM
반응이다.	반응/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.143.5.2
전화로 소식을 전했더니, 한국에 있던 엄마는 눈물을 흘렸다고 한다.

전화로	전화/NNG+로/JKB
소식을	소식/NNG+을/JKO
전했더니,	전하/VV+았/EP+더니/EC+,/SP
한국에	한국/NNP+에/JKB
있던	있/VV+던/ETM
엄마는	엄마/NNG+는/JX
눈물을	눈물/NNG+을/JKO
흘렸다고	흘리/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.143.5.3
영화 <범죄소년>에서 생애 첫 주연을 맡은 서영주(사진)군의 나이는 15살이다.

영화	영화/NNG
<범죄소년>에서	</SS+범죄소년/NNP+>/SS+에서/JKB
생애	생애/NNG
첫	첫/MMN
주연을	주연/NNG+을/JKO
맡은	맡/VV+은/ETM
서영주(사진)군의	서영주/NNP+(/SS+사진/NNG+)/SS+군/NNB+의/JKG
나이는	나이/NNG+는/JX
15살이다.	15/SN+살/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000036.143.5.4
그는 한국 영화계가 국제영화제에서 남우주연상을 받은 최연소 배우란 기록도 갖게 됐다.

그는	그/NP+는/JX
한국	한국/NNP
영화계가	영화/NNG+계/XSN+가/JKS
국제영화제에서	국제/NNG+영화제/NNG+에서/JKB
남우주연상을	남우/NNG+주연상/NNG+을/JKO
받은	받/VV+은/ETM
최연소	최/XPN+연소/NNG
배우란	배우/NNG+이/VCP+란/ETM
기록도	기록/NNG+도/JX
갖게	갖/VV+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.143.6.1
“이 상을 받는 게 맞는지도 모르겠고, 처음부터 큰 상을 받아 더 열심히 해야겠다는 부담도 생겼어요.”

“이	“/SS+이/MMD
상을	상/NNG+을/JKO
받는	받/VV+는/ETM
게	거/NNB+이/JKS
맞는지도	맞/VV+는지/EF+도/JX
모르겠고,	모르/VV+겠/EP+고/EC+,/SP
처음부터	처음/NNG+부터/JX
큰	크/VA+ㄴ/ETM
받아	받/VV+아/EC
더	더/MAG
열심히	열심히/MAG
해야겠다는	하/VV+아야/EC+하/VX+겠/EP+다는/ETM
부담도	부담/NNG+도/JX
생겼어요.”	생기/VV+었/EP+어요/EF+./SF+”/SS


# id : NWRW1800000036.143.7.1
얼떨떨해하는 어린 배우에게 도쿄영화제 쪽은 “성인배우 못지않은 성숙한 연기력과 깊은 눈빛이 인상적이며, 대단한 배우가 등장한 것 같다”는 격려까지 보냈다.

얼떨떨해하는	얼떨떨하/VA+아/EC+하/VX+는/ETM
어린	어리/VA+ㄴ/ETM
배우에게	배우/NNG+에게/JKB
도쿄영화제	도쿄영화제/NNP
쪽은	쪽/NNB+은/JX
“성인배우	“/SS+성인/NNG+배우/NNG
못지않은	못지않/VA+은/ETM
성숙한	성숙/NNG+하/XSA+ㄴ/ETM
연기력과	연기력/NNG+과/JC
깊은	깊/VA+은/ETM
눈빛이	눈빛/NNG+이/JKS
인상적이며,	인상/NNG+적/XSN+이/VCP+며/EC+,/SP
대단한	대단하/VA+ㄴ/ETM
배우가	배우/NNG+가/JKS
등장한	등장/NNG+하/XSV+ㄴ/ETM
것	것/NNB
같다”는	같/VA+다/EF+”/SS+는/ETM
격려까지	격려/NNG+까지/JX
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.143.8.1
22일 개봉하는 <범죄소년>(감독 강이관·제작 국가인권위)은 병든 외할아버지를 돌보며 살다가, 절도죄로 소년원에 들어간 ‘지구’(서영주) 앞에 자신을 17살 나이에 낳고 떠난 엄마(이정현)가 13년 만에 나타나며 벌어지는 이야기다.

22일	22/SN+일/NNB
개봉하는	개봉/NNG+하/XSV+는/ETM
<범죄소년>(감독	</SS+범죄소년/NNP+>/SS+(/SS+감독/NNG
강이관·제작	강이관/NNP+·/SP+제작/NNG
국가인권위)은	국가인권위/NNP+)/SS+은/JX
병든	병들/VV+ㄴ/ETM
외할아버지를	외할아버지/NNG+를/JKO
돌보며	돌보/VV+며/EC
살다가,	살/VV+다가/EC+,/SP
절도죄로	절도죄/NNG+로/JKB
소년원에	소년원/NNG+에/JKB
들어간	들어가/VV+ㄴ/ETM
‘지구’(서영주)	‘/SS+지구/NNP+’/SS+(/SS+서영주/NNP+)/SS
앞에	앞/NNG+에/JKB
자신을	자신/NNG+을/JKO
17살	17/SN+살/NNB
나이에	나이/NNG+에/JKB
낳고	낳/VV+고/EC
떠난	떠나/VV+ㄴ/ETM
엄마(이정현)가	엄마/NNG+(/SS+이정현/NNP+)/SS+가/JKS
13년	13/SN+년/NNB
만에	만/NNB+에/JKB
나타나며	나타나/VV+며/EC
벌어지는	벌어지/VV+는/ETM
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.143.8.2
서영주는 세상의 구석진 곳으로 밀쳐졌다는 외로움과 엄마를 만나 느끼는 위안, 세상과 다시 단절될 듯한 불안감들을 표현해낸다.

서영주는	서영주/NNP+는/JX
세상의	세상/NNG+의/JKG
구석진	구석지/VA+ㄴ/ETM
곳으로	곳/NNG+으로/JKB
밀쳐졌다는	밀치/VV+어/EC+지/VX+었/EP+다는/ETM
외로움과	외로움/NNG+과/JC
엄마를	엄마/NNG+를/JKO
만나	만나/VV+아/EC
느끼는	느끼/VV+는/ETM
위안,	위안/NNG+,/SP
세상과	세상/NNG+과/JKB
다시	다시/MAG
단절될	단절/NNG+되/XSV+ㄹ/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
불안감들을	불안감/NNG+들/XSN+을/JKO
표현해낸다.	표현/NNG+하/XSV+아/EC+내/VX+ㄴ다/EF+./SF


# id : NWRW1800000036.143.9.1
서울 중대부중 3학년인 서영주는 11일 저녁 전화통화에서 “소년원 아이들은 큰 범죄를 저질렀을 것이란 편견들이 있는데, 사회와 가족한테서 버려지거나 보호받지 못해서, 우리가 먼저 다가가지 못해서, 작은 비행을 범해온 아이들이 많다는 것을 관객들이 알았으면 좋겠다”고 했다.

서울	서울/NNP
중대부중	중대부중/NNP
3학년인	3/SN+학년/NNG+이/VCP+ㄴ/ETM
서영주는	서영주/NNP+는/JX
11일	11/SN+일/NNB
저녁	저녁/NNG
전화통화에서	전화/NNG+통화/NNG+에서/JKB
“소년원	“/SS+소년원/NNG
아이들은	아이/NNG+들/XSN+은/JX
큰	크/VA+ㄴ/ETM
범죄를	범죄/NNG+를/JKO
저질렀을	저지르/VV+었/EP+을/ETM
것이란	것/NNB+이/VCP+란/ETM
편견들이	편견/NNG+들/XSN+이/JKS
있는데,	있/VV+는데/EC+,/SP
사회와	사회/NNG+와/JC
가족한테서	가족/NNG+한테서/JKB
버려지거나	버리/VV+어/EC+지/VX+거나/EC
보호받지	보호/NNG+받/XSV+지/EC
못해서,	못하/VX+아서/EC+,/SP
우리가	우리/NP+가/JKS
먼저	먼저/MAG
다가가지	다가가/VV+지/EC
작은	작/VA+은/ETM
비행을	비행/NNG+을/JKO
범해온	범하/VV+아/EC+오/VX+ㄴ/ETM
아이들이	아이/NNG+들/XSN+이/JKS
많다는	많/VA+다는/ETM
것을	것/NNB+을/JKO
관객들이	관객/NNG+들/XSN+이/JKS
알았으면	알/VV+았/EP+으면/EC
좋겠다”고	좋/VA+겠/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.143.9.2
영화에서 ‘지구’도 돈과 물건을 훔치려는 또래 아이들과 그냥 휩쓸려 있다가 특수절도죄로 붙잡히고, 외할아버지가 자신을 부양할 능력이 없어 소년원으로 가게 된다.

영화에서	영화/NNG+에서/JKB
‘지구’도	‘/SS+지구/NNP+’/SS+도/JX
돈과	돈/NNG+과/JC
물건을	물건/NNG+을/JKO
훔치려는	훔치/VV+려는/ETM
또래	또래/NNG
아이들과	아이/NNG+들/XSN+과/JKB
그냥	그냥/MAG
휩쓸려	휩쓸리/VV+어/EC
있다가	있/VX+다가/EC
특수절도죄로	특수/NNG+절도죄/NNG+로/JKB
붙잡히고,	붙잡히/VV+고/EC+,/SP
외할아버지가	외할아버지/NNG+가/JKS
자신을	자신/NNG+을/JKO
부양할	부양/NNG+하/XSV+ㄹ/ETM
능력이	능력/NNG+이/JKS
없어	없/VA+어/EC
소년원으로	소년원/NNG+으로/JKB
가게	가/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.143.9.3
그는 “영화촬영을 위해 일주일간 소년원에서 지냈는데, 처음엔 그곳 아이들이 무서웠지만, 나한테 ‘너 영화 찍는다는데 무슨 역할이니’라고 묻는 등 호기심 많은 평범한 소년들이었다”고 했다.

그는	그/NP+는/JX
“영화촬영을	“/SS+영화/NNG+촬영/NNG+을/JKO
위해	위하/VV+아/EC
일주일간	일주일/NNG+간/XSN
소년원에서	소년원/NNG+에서/JKB
지냈는데,	지내/VV+었/EP+는데/EC+,/SP
처음엔	처음/NNG+에/JKB+ㄴ/JX
그곳	그곳/NP
아이들이	아이/NNG+들/XSN+이/JKS
무서웠지만,	무섭/VA+었/EP+지만/EC+,/SP
나한테	나/NP+한테/JKB
‘너	‘/SS+너/NP
영화	영화/NNG
찍는다는데	찍/VV+는다는데/EC
무슨	무슨/MMD
역할이니’라고	역할/NNG+이/VCP+니/EF+’/SS+라고/JKQ
묻는	묻/VV+는/ETM
등	등/NNB
호기심	호기심/NNG
많은	많/VA+은/ETM
평범한	평범하/VA+ㄴ/ETM
소년들이었다”고	소년/NNG+들/XSN+이/VCP+었/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.143.9.4
초등학교 3학년 때부터 ‘지나가는 꼬마’ 같은 단역들을 하다가, 올해 영화 <도둑들>에선 자신이 가장 좋아하는 배우인 김윤석의 어린 시절 역을 맡기도 했다.

초등학교	초등학교/NNG
3학년	3/SN+학년/NNG
때부터	때/NNG+부터/JX
‘지나가는	‘/SS+지나가/VV+는/ETM
꼬마’	꼬마/NNG+’/SS
같은	같/VA+은/ETM
단역들을	단역/NNG+들/XSN+을/JKO
하다가,	하/VV+다가/EC+,/SP
올해	올해/NNG
영화	영화/NNG
<도둑들>에선	</SS+도둑들/NNP+>/SS+에서/JKB+ㄴ/JX
자신이	자신/NNG+이/JKS
가장	가장/MAG
좋아하는	좋아하/VV+는/ETM
배우인	배우/NNG+이/VCP+ㄴ/ETM
김윤석의	김윤석/NNP+의/JKG
어린	어리/VA+ㄴ/ETM
시절	시절/NNG
역을	역/NNG+을/JKO
맡기도	맡/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000036.143.9.5
그는 “내가 웃으면 관객도 웃고, 내가 울면 같이 우는, 그렇게 공감을 주는 배우가 되고 싶다”고 했다.

그는	그/NP+는/JX
“내가	“/SS+내/NP+가/JKS
웃으면	웃/VV+으면/EC
관객도	관객/NNG+도/JX
웃고,	웃/VV+고/EC+,/SP
내가	내/NP+가/JKS
울면	울/VV+면/EC
같이	같이/MAG
우는,	울/VV+는/ETM+,/SP
그렇게	그렇/VA+게/EC
공감을	공감/NNG+을/JKO
주는	주/VV+는/ETM
배우가	배우/NNG+가/JKC
되고	되/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.143.9.6
영화 주연까지 맡았으니 우쭐해질 법한데도, “‘저 사람 연기 잘한다’는 연기자가 되고 싶지, ‘와, 저 사람 누구다’란 말을 듣는 화려한 연예인이나 스타가 되고 싶지는 않다”고 했다.

영화	영화/NNG
주연까지	주연/NNG+까지/JX
맡았으니	맡/VV+았/EP+으니/EC
우쭐해질	우쭐/MAG+하/XSV+아/EC+지/VX+ㄹ/ETM
법한데도,	법/NNB+하/XSA+ㄴ데/EC+도/JX+,/SP
“‘저	“/SS+‘/SS+저/MMD
사람	사람/NNG
연기	연기/NNG
잘한다’는	잘/MAG+하/XSV+ㄴ다/EF+’/SS+는/ETM
연기자가	연기자/NNG+가/JKC
되고	되/VV+고/EC
싶지,	싶/VX+지/EC+,/SP
‘와,	‘/SS+와/IC+,/SP
저	저/MMD
누구다’란	누구/NP+이/VCP+다/EF+’/SS+이/VCP+란/ETM
말을	말/NNG+을/JKO
듣는	듣/VV+는/ETM
화려한	화려하/VA+ㄴ/ETM
연예인이나	연예인/NNG+이나/JC
스타가	스타/NNG+가/JKC
싶지는	싶/VX+지/EC+는/JX
않다”고	않/VX+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


