# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.288
metadata : {}


# id : NWRW1800000053.288.1.1
[횡설수설/정성희]美 언론계 강타한 ‘미투’

[횡설수설/정성희]美	[/SS+횡설수설/NNG+//SP+정성희/NNP+]/SS+美/SH
이들도	이/NNB+들/XSN+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000053.288.4.2
특히 한때 잘못된 행동으로 한순간에 지위와 명예를 잃은 라워에 대한 동정론도 있다.

특히	특히/MAG
한때	한때/NNG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
한순간에	한순간/NNG+에/JKB
지위와	지위/NNG+와/JC
명예를	명예/NNG+를/JKO
잃은	잃/VV+은/ETM
라워에	라워/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
동정론도	동정/NNG+론/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000053.288.4.3
성추행 혐의로 자사 기자에 대한 직무정지 결정을 내린 뉴욕타임스가 “그렇게 오랫동안 그렇게 막강한 지위를 누렸던 인물이라면 많은 여자들이 자발적으로 그에게 안겼을 것”이라는 시민 반응을 보도한 것이 흥미롭다.

성추행	성추행/NNG
혐의로	혐의/NNG+로/JKB
자사	자사/NNG
기자에	기자/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
직무정지	직무/NNG+정지/NNG
결정을	결정/NNG+을/JKO
내린	내리/VV+ㄴ/ETM
뉴욕타임스가	뉴욕타임스/NNP+가/JKS
“그렇게	“/SS+그렇/VA+게/EC
오랫동안	오랫동안/NNG
그렇게	그렇/VA+게/EC
막강한	막강/NNG+하/XSA+ㄴ/ETM
지위를	지위/NNG+를/JKO
누렸던	누리/VV+었/EP+던/ETM
인물이라면	인물/NNG+이/VCP+라면/EC
많은	많/VA+은/ETM
여자들이	여자/NNG+들/XSN+이/JKS
자발적으로	자발/NNG+적/XSN+으로/JKB
그에게	그/NP+에게/JKB
안겼을	안기/VV+었/EP+을/ETM
것”이라는	것/NNB+”/SS+이/VCP+라는/ETM
시민	시민/NNG
반응을	반응/NNG+을/JKO
보도한	보도/NNG+하/XSV+ㄴ/ETM
것이	것/NNB+이/JKS
흥미롭다.	흥미/NNG+롭/XSA+다/EF+./SF


# id : NWRW1800000053.288.5.1
▷그럼에도 불구하고 중요한 점은 여성들이 반란을 시작했다는 것이다.

▷그럼에도	▷/SW+그렇/VA+ㅁ/ETN+에/JKB+도/JX
불구하고	불구하/VV+고/EC
중요한	중요/NNG+하/XSA+ㄴ/ETM
점은	점/NNG+은/JX
여성들이	여성/NNG+들/XSN+이/JKS
반란을	반란/NNG+을/JKO
시작했다는	시작/NNG+하/XSV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.288.5.2
“만약 한 여성이 자신의 삶에 대해 진실을 털어놓는다면 세상은 터져버릴 것이다”라는 뮤리얼 루카이저의 말대로 여성의 폭로가 이어지면서 권력을 가진 남자들이 추락하고 있다.

“만약	“/SS+만약/MAG
한	한/MMN
여성이	여성/NNG+이/JKS
자신의	자신/NNG+의/JKG
삶에	삶/NNG+에/JKB
대해	대하/VV+아/EC
진실을	진실/NNG+을/JKO
털어놓는다면	털어놓/VV+는다면/EC
세상은	세상/NNG+은/JX
터져버릴	터지/VV+어/EC+버리/VX+ㄹ/ETM
것이다”라는	것/NNB+이/VCP+다/EF+”/SS+이/VCP+라는/ETM
뮤리얼	뮤리얼/NNP
루카이저의	루카이저/NNP+의/JKG
말대로	말/NNG+대로/JX
여성의	여성/NNG+의/JKG
폭로가	폭로/NNG+가/JKS
이어지면서	이어지/VV+면서/EC
권력을	권력/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
남자들이	남자/NNG+들/XSN+이/JKS
추락하고	추락/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000053.288.5.3
세상이 변했다고 탓하기에 앞서 자신들 때문에 피해를 당한 여성의 입장을 역지사지(易地思之)해 봐야 할 것이다.

세상이	세상/NNG+이/JKS
변했다고	변하/VV+았/EP+다고/EC
탓하기에	탓/NNG+하/XSV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
자신들	자신/NNG+들/XSN
때문에	때문/NNB+에/JKB
피해를	피해/NNG+를/JKO
당한	당하/VV+ㄴ/ETM
여성의	여성/NNG+의/JKG
입장을	입장/NNG+을/JKO
역지사지(易地思之)해	역지사지/NNG+(/SS+易地思之/SH+)/SS+하/VV+아/EC
봐야	보/VX+아야/EC
할	하/VX+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


