# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.170
metadata : {}


# id : NWRW1800000046.170.1.1
檢, 김신종 前광물자원공사 사장 소환

檢,	檢/SH+,/SP
값에	값/NNG+에/JKB
사들여	사들이/VV+어/EC
회사에	회사/NNG+에/JKB
116억원의	116/SN+억/NR+원/NNB+의/JKG
손해를	손해/NNG+를/JKO
입힌	입히/VV+ㄴ/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.170.4.2
당시 광물자원공사는 경남기업에 5차례에 걸쳐 납부 기한을 연장해주고, 투자금 171억원을 대신 내줘 특혜 의혹을 받아 왔다.

당시	당시/NNG
광물자원공사는	광물자원공사/NNP+는/JX
경남기업에	경남기업/NNP+에/JKB
5차례에	5/SN+차례/NNG+에/JKB
걸쳐	걸치/VV+어/EC
납부	납부/NNG
기한을	기한/NNG+을/JKO
연장해주고,	연장/NNG+하/XSV+아/EC+주/VX+고/EC+,/SP
투자금	투자금/NNG
171억원을	171/SN+억/NR+원/NNB+을/JKO
대신	대신/NNG
내줘	내주/VV+어/EC
특혜	특혜/NNG
의혹을	의혹/NNG+을/JKO
받아	받/VV+아/EC
왔다.	오/VX+았/EP+다/EF+./SF


# id : NWRW1800000046.170.4.3
이날 검찰은 김 전 사장을 상대로 경남기업 측으로부터 금품 로비를 받았는지 여부를 추궁한 것으로 알려졌다.

이날	이날/NNG
검찰은	검찰/NNG+은/JX
김	김/NNP
전	전/MMD
사장을	사장/NNG+을/JKO
상대로	상대/NNG+로/JKB
경남기업	경남기업/NNP
측으로부터	측/NNB+으로부터/JKB
금품	금품/NNG
로비를	로비/NNG+를/JKO
받았는지	받/VV+았/EP+는지/EC
여부를	여부/NNG+를/JKO
추궁한	추궁/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000046.170.5.1
또 검찰은 김 전 사장이 재임하던 2010년부터 광물자원공사가 강원도 양양철광 재개발 사업에 무리하게 투자해 약 36억원의 손실을 입은 데 대해 투자 경위 등을 조사했다.

또	또/MAG
검찰은	검찰/NNG+은/JX
김	김/NNP
전	전/MMD
사장이	사장/NNG+이/JKS
재임하던	재임/NNG+하/XSV+던/ETM
2010년부터	2010/SN+년/NNB+부터/JX
광물자원공사가	광물자원공사/NNP+가/JKS
강원도	강원도/NNP
양양철광	양양철광/NNP
재개발	재/XPN+개발/NNG
사업에	사업/NNG+에/JKB
무리하게	무리/NNG+하/XSA+게/EC
투자해	투자/NNG+하/XSV+아/EC
약	약/MMA
36억원의	36/SN+억/NR+원/NNB+의/JKG
손실을	손실/NNG+을/JKO
입은	입/VV+은/ETM
데	데/NNB
대해	대하/VV+아/EC
투자	투자/NNG
경위	경위/NNG
등을	등/NNB+을/JKO
조사했다.	조사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.170.5.2
양양철광은 희소 자원인 희토류가 매장돼 있다는 소문에 주목받았으나 현재는 재개발이 사실상 무산된 상태다.

양양철광은	양양철광/NNP+은/JX
희소	희소/NNG
자원인	자원/NNG+이/VCP+ㄴ/ETM
희토류가	희토/NNG+류/XSN+가/JKS
매장돼	매장/NNG+되/XSV+어/EC
있다는	있/VX+다는/ETM
소문에	소문/NNG+에/JKB
주목받았으나	주목/NNG+받/XSV+았/EP+으나/EC
현재는	현재/NNG+는/JX
재개발이	재/XPN+개발/NNG+이/JKS
사실상	사실/NNG+상/XSN
무산된	무산/NNG+되/XSV+ㄴ/ETM
상태다.	상태/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.170.5.3
검찰은 이날 조사 결과를 토대로 김 전 사장에게 배임 혐의를 적용, 구속영장 청구 여부를 검토하고 있다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
조사	조사/NNG
결과를	결과/NNG+를/JKO
토대로	토대/NNG+로/JKB
김	김/NNP
전	전/MMD
사장에게	사장/NNG+에게/JKB
배임	배임/NNG
혐의를	혐의/NNG+를/JKO
적용,	적용/NNG+,/SP
구속영장	구속/NNG+영장/NNG
청구	청구/NNG
여부를	여부/NNG+를/JKO
검토하고	검토/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.170.6.1
한편, 검찰은 지난달 30일 배임 혐의로 구속된 강영원(64) 전 한국석유공사 사장을 이날 기소했다.

한편,	한편/MAG+,/SP
검찰은	검찰/NNG+은/JX
지난달	지난달/NNG
30일	30/SN+일/NNB
배임	배임/NNG
혐의로	혐의/NNG+로/JKB
구속된	구속/NNG+되/XSV+ㄴ/ETM
강영원(64)	강영원/NNP+(/SS+64/SN+)/SS
전	전/MMD
한국석유공사	한국석유공사/NNP
사장을	사장/NNG+을/JKO
이날	이날/NNG
기소했다.	기소/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.170.6.2
강 전 사장은 캐나다 하베스트사 부실 인수 등 무리한 해외 자원개발 추진으로 석유공사에 5500억원대의 손실을 입힌 혐의다.

강	강/NNP
전	전/MMD
사장은	사장/NNG+은/JX
캐나다	캐나다/NNP
하베스트사	하베스트사/NNP
부실	부실/NNG
인수	인수/NNG
등	등/NNB
무리한	무리/NNG+하/XSA+ㄴ/ETM
해외	해외/NNG
자원개발	자원/NNG+개발/NNG
추진으로	추진/NNG+으로/JKB
석유공사에	석유공사/NNP+에/JKB
5500억원대의	5500/SN+억/NR+원/NNB+대/XSN+의/JKG
손실을	손실/NNG+을/JKO
입힌	입히/VV+ㄴ/ETM
혐의다.	혐의/NNG+이/VCP+다/EF+./SF


