# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.166
metadata : {}


# id : NWRW1800000024.166.1.1
“KTX역 주변, 고밀도 상업단지 개발을”

“KTX역	“/SS+KTX/SL+역/NNG
강팔문 국토해양부 국토정책국장은 “고속철도 역세권 개발은 필요하지만 지자체별로 계획을 수립하다 보니 도시의 역량과 관계없이 그 규모가 과도해지는데, 정부는 이런 대목을 조정해나갈 것”이라고 말했다.

강팔문	강팔문/NNP
국토해양부	국토/NNG+해양부/NNG
국토정책국장은	국토/NNG+정책국장/NNG+은/JX
“고속철도	“/SS+고속/NNG+철도/NNG
역세권	역세권/NNG
개발은	개발/NNG+은/JX
필요하지만	필요/NNG+하/XSA+지만/EC
지자체별로	지자체/NNG+별/XSN+로/JKB
계획을	계획/NNG+을/JKO
수립하다	수립/NNG+하/XSV+다/EC
보니	보/VX+니/EC
도시의	도시/NNG+의/JKG
역량과	역량/NNG+과/JKB
관계없이	관계없이/MAG
그	그/MMD
규모가	규모/NNG+가/JKS
과도해지는데,	과도/NNG+하/XSA+아/EC+지/VX+는데/EC+,/SP
정부는	정부/NNG+는/JX
이런	이런/MMD
대목을	대목/NNG+을/JKO
조정해나갈	조정/NNG+하/XSV+아/EC+나가/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


