# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.423
metadata : {}


# id : NWRW1800000048.423.1.1
새정치 “법원마저 정치화 우려”

새정치	새정치/NNP
감옥으로	감옥/NNG+으로/JKB
보내야	보내/VV+어야/EC
하는	하/VX+는/ETM
우리의	우리/NP+의/JKG
무력함이	무력/NNG+하/XSA+ㅁ/ETN+이/JKS
참담하다.	참담/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000048.423.6.3
특히 성완종 리스트에 오른 인물들이 대부분 무혐의 처리된 사실과 대비하면 더욱 분노스럽다”고 말했다.

특히	특히/MAG
성완종	성완종/NNP
리스트에	리스트/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
인물들이	인물/NNG+들/XSN+이/JKS
대부분	대/XPN+부분/NNG
무혐의	무/XPN+혐의/NNG
처리된	처리/NNG+되/XSV+ㄴ/ETM
사실과	사실/NNG+과/JKB
대비하면	대비/NNG+하/XSV+면/EC
더욱	더욱/MAG
분노스럽다”고	분노/NNG+스럽/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.7.1
유은혜 새정치연합 대변인은 “사법정의를 실현해야 할 법원이 ‘무권유죄 유권무죄’의 판결을 내렸다”며 “이제 검찰이 작심하기만 하면 죄인으로 만들지 못할 사람은 대한민국에 없을 것”이라고 논평했다.

유은혜	유은혜/NNP
새정치연합	새정치연합/NNP
대변인은	대변인/NNG+은/JX
“사법정의를	“/SS+사법/NNG+정의/NNG+를/JKO
실현해야	실현/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
법원이	법원/NNG+이/JKS
‘무권유죄	‘/SS+무권/NNG+유죄/NNG
유권무죄’의	유권/NNG+무죄/NNG+’/SS+의/JKG
판결을	판결/NNG+을/JKO
내렸다”며	내리/VV+었/EP+다/EF+”/SS+며/EC
“이제	“/SS+이제/MAG
검찰이	검찰/NNG+이/JKS
작심하기만	작심/NNG+하/XSV+기/ETN+만/JX
하면	하/VX+면/EC
죄인으로	죄인/NNG+으로/JKB
만들지	만들/VV+지/EC
못할	못하/VX+ㄹ/ETM
사람은	사람/NNG+은/JX
대한민국에	대한민국/NNP+에/JKB
없을	없/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
논평했다.	논평/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.7.2
특히 “권력의 시녀로 전락한 검찰을 개혁하기 위해 당의 사활을 건다는 각오로 나설 것임을 분명히 밝힌다”고 말했다.

특히	특히/MAG
“권력의	“/SS+권력/NNG+의/JKG
시녀로	시녀/NNG+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
검찰을	검찰/NNG+을/JKO
개혁하기	개혁/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
당의	당/NNG+의/JKG
사활을	사활/NNG+을/JKO
건다는	걸/VV+ㄴ다는/ETM
각오로	각오/NNG+로/JKB
나설	나서/VV+ㄹ/ETM
것임을	것/NNB+이/VCP+ㅁ/ETN+을/JKO
분명히	분명히/MAG
밝힌다”고	밝히/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.8.1
이에 반해 김영우 새누리당 수석대변인은 브리핑에서 “새정치연합은 재판 결과를 겸허히 받아들이고 국민 앞에 사죄해야 한다”며 “법과 원칙에 따라 재판부가 판단한 것을 두고 ‘공안 탄압’ 운운하는 것은 변명에 불과하다”고 말했다.

이에	이/NP+에/JKB
반해	반하/VV+아/EC
김영우	김영우/NNP
새누리당	새누리당/NNP
수석대변인은	수석/NNG+대변인/NNG+은/JX
브리핑에서	브리핑/NNG+에서/JKB
“새정치연합은	“/SS+새정치연합/NNP+은/JX
재판	재판/NNG
결과를	결과/NNG+를/JKO
겸허히	겸허히/MAG
받아들이고	받아들이/VV+고/EC
국민	국민/NNG
앞에	앞/NNG+에/JKB
사죄해야	사죄/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“법과	“/SS+법/NNG+과/JC
원칙에	원칙/NNG+에/JKB
따라	따르/VV+아/EC
재판부가	재판부/NNG+가/JKS
판단한	판단/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
두고	두/VV+고/EC
‘공안	‘/SS+공안/NNG
탄압’	탄압/NNG+’/SS
운운하는	운운/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
변명에	변명/NNG+에/JKB
불과하다”고	불과/MAG+하/XSA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.8.2
오히려 새누리당은 한 전 총리에 대한 대법원 확정 판결이 5년1개월이 걸린 데 대해 사법부가 정치권 눈치를 본 ‘늑장 판결’이라고 비판했다.

오히려	오히려/MAG
새누리당은	새누리당/NNP+은/JX
한	한/NNP
전	전/MMD
총리에	총리/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
대법원	대/XPN+법원/NNG
확정	확정/NNG
판결이	판결/NNG+이/JKS
5년1개월이	5/SN+년/NNB+1/SN+개월/NNB+이/JKS
걸린	걸리/VV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
사법부가	사법부/NNG+가/JKS
정치권	정치/NNG+권/XSN
눈치를	눈치/NNG+를/JKO
본	보/VV+ㄴ/ETM
‘늑장	‘/SS+늑장/NNG
판결’이라고	판결/NNG+’/SS+이라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.423.9.1
김무성 대표는 “대법원이 2년을 끌어 판결을 내렸는데 이것을 야당탄압이라고 하면 정말 참…”이라며 “국민들이 판단할 것”이라고 말했다.

김무성	김무성/NNP
대표는	대표/NNG+는/JX
“대법원이	“/SS+대/XPN+법원/NNG+이/JKS
2년을	2/SN+년/NNB+을/JKO
끌어	끌/VV+어/EC
판결을	판결/NNG+을/JKO
내렸는데	내리/VV+었/EP+는데/EC
이것을	이것/NP+을/JKO
야당탄압이라고	야당/NNG+탄압/NNG+이/VCP+라고/EC
하면	하/VV+면/EC
정말	정말/MAG
참…”이라며	참/IC+…/SE+”/SS+이/VCP+라며/EC
“국민들이	“/SS+국민/NNG+들/XSN+이/JKS
판단할	판단/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


