# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.32
metadata : {}


# id : NWRW1800000026.32.1.1
'신기록 제조기' 아바타 1000억원 매출 올리나;주말에 관객 1000만 돌파 세계기록도 '타이타닉' 깰듯

'신기록	'/SS+신/XPN+기록/NNG
외신들은	외신/NNG+들/XSN+은/JX
아바타가	아바타/NNP+가/JKS
타이타닉을	타이타닉/NNP+을/JKO
결국	결국/MAG
제칠	제치/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상하고	예상/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.32.4.4
영화전문지 '할리우드 리포터'는 23일 "아바타는 마치 자동운행장치(cruise control)로 움직이는 것처럼 6주째 박스 오피스 1위를 점하고 있다"고 보도했다.

영화전문지	영화/NNG+전문지/NNG
'할리우드	'/SS+할리우드/NNP
리포터'는	리포터/NNP+'/SS+는/JX
23일	23/SN+일/NNB
"아바타는	"/SS+아바타/NNP+는/JX
마치	마치/MAG
자동운행장치(cruise	자동/NNG+운행/NNG+장치/NNG+(/SS+cruise/SL
control)로	control/SL+)/SS+로/JKB
움직이는	움직이/VV+는/ETM
것처럼	것/NNB+처럼/JKB
6주째	6/SN+주/NNB+째/XSN
박스	박스/NNG
오피스	오피스/NNG
1위를	1/SN+위/NNB+를/JKO
점하고	점하/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


