# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.389
metadata : {}


# id : NWRW1800000056.389.1.1
[단독] ‘비선보고’ 추명호 공소장에 우병우·최윤수 ‘공범’ 적시

[단독]	[/SS+단독/NNG+]/SS
말맞추기를	말/NNG+맞추/VV+기/ETN+를/JKO
할	하/VV+ㄹ/ETM
수	수/NNB
있다고	있/VA+다고/EC
보고,	보/VV+고/EC+,/SP
같은	같/VA+은/ETM
날	날/NNG
소환하는	소환/NNG+하/XSV+는/ETM
방안	방안/NNG
등을	등/NNB+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000056.389.9.1
우 전 수석이 검찰 수사 선상에 오른 것은 지난해 11월 넥슨 부동산 특혜매매 의혹 사건을 시작으로 이번이 네 번째다.

우	우/NNP
전	전/MMD
수석이	수석/NNG+이/JKS
검찰	검찰/NNG
수사	수사/NNG
선상에	선상/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
것은	것/NNB+은/JX
지난해	지난해/NNG
11월	11/SN+월/NNB
넥슨	넥슨/NNP
부동산	부동산/NNG
특혜매매	특혜/NNG+매매/NNG
의혹	의혹/NNG
사건을	사건/NNG+을/JKO
시작으로	시작/NNG+으로/JKB
이번이	이번/NNG+이/JKS
네	네/MMN
번째다.	번/NNB+째/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000056.389.9.2
그동안 우 전 수석은 고위공무원 세평 수집은 민정수석실 고유 업무라고 주장해왔다.

그동안	그동안/NNG
우	우/NNP
전	전/MMD
수석은	수석/NNG+은/JX
고위공무원	고위/NNG+공무원/NNG
세평	세평/NNG
수집은	수집/NNG+은/JX
민정수석실	민정/NNG+수석실/NNG
고유	고유/NNG
업무라고	업무/NNG+이/VCP+라고/EC
주장해왔다.	주장/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000056.389.9.3
하지만 그 세평 수집 활동의 일부가 국정원의 불법사찰이었고, 우 전 수석이 적극적으로 요구한 정황까지 드러난 만큼 책임을 피하긴 어려우리라는 관측이 나온다.

하지만	하지만/MAJ
그	그/MMD
세평	세평/NNG
수집	수집/NNG
활동의	활동/NNG+의/JKG
일부가	일부/NNG+가/JKS
국정원의	국정원/NNG+의/JKG
불법사찰이었고,	불법/NNG+사찰/NNG+이/VCP+었/EP+고/EC+,/SP
우	우/NNP
전	전/MMD
수석이	수석/NNG+이/JKS
적극적으로	적극/NNG+적/XSN+으로/JKB
요구한	요구/NNG+하/XSV+ㄴ/ETM
정황까지	정황/NNG+까지/JX
드러난	드러나/VV+ㄴ/ETM
만큼	만큼/NNB
책임을	책임/NNG+을/JKO
피하긴	피하/VV+기/ETN+ㄴ/JX
어려우리라는	어렵/VA+으리라는/ETM
관측이	관측/NNG+이/JKS
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000056.389.9.4
특히 검찰은 우 전 수석이 자신의 가족을 감찰 중인 특별감찰관을 불법사찰한 보고서를 받아본 것은 죄질이 나쁘다고 보고 있다.

특히	특히/MAG
검찰은	검찰/NNG+은/JX
우	우/NNP
전	전/MMD
수석이	수석/NNG+이/JKS
자신의	자신/NNG+의/JKG
가족을	가족/NNG+을/JKO
감찰	감찰/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
특별감찰관을	특별/NNG+감찰관/NNG+을/JKO
불법사찰한	불법/NNG+사찰/NNG+하/XSV+ㄴ/ETM
보고서를	보고서/NNG+를/JKO
받아본	받/VV+아/EC+보/VX+ㄴ/ETM
것은	것/NNB+은/JX
죄질이	죄질/NNG+이/JKS
나쁘다고	나쁘/VA+다고/EC
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


