# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000056.39
metadata : {}


# id : NWRW1800000056.39.1.1
유통업계, 공정위원장에 ‘갑질 개선’ ‘상생’ 열가지 약속

유통업계,	유통업/NNG+계/XSN+,/SP
상반기부터	상반기/NNG+부터/JX
거래	거래/NNG
수량이	수량/NNG+이/JKS
적힌	적히/VV+ㄴ/ETM
문서를	문서/NNG+를/JKO
전에	전/NNG+에/JKB
미리	미리/MAG
교부해	교부/NNG+하/XSV+아/EC
납품업체의	납품업체/NNG+의/JKG
재고	재고/NNG
부담을	부담/NNG+을/JKO
덜어주고,	덜/VV+어/EC+주/VX+고/EC+,/SP
벤더(중간	벤더/NNG+(/SS+중간/NNG
유통업자)를	유통업자/NNG+)/SS+를/JKO
통한	통하/VV+ㄴ/ETM
납품을	납품/NNG+을/JKO
금지하기로	금지/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.6.3
또 납품업체에 과다한 경영정보를 요구하는 행위를 근절하고, 실제 판매된 물량만 유통업체가 매입한 것으로 처리하는 이른바 ‘판매분 매입’ 관행을 원칙적으로 금지하되, 김밥 등 상품 특성상 필요한 경우는 해소 방안을 추가 검토하기로 했다.

또	또/MAG
납품업체에	납품업체/NNG+에/JKB
과다한	과다/NNG+하/XSA+ㄴ/ETM
경영정보를	경영/NNG+정보/NNG+를/JKO
요구하는	요구/NNG+하/XSV+는/ETM
행위를	행위/NNG+를/JKO
근절하고,	근절/NNG+하/XSV+고/EC+,/SP
실제	실제/NNG
판매된	판매/NNG+되/XSV+ㄴ/ETM
물량만	물량/NNG+만/JX
유통업체가	유통업체/NNG+가/JKS
매입한	매입/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
처리하는	처리/NNG+하/XSV+는/ETM
이른바	이른바/MAG
‘판매분	‘/SS+판매/NNG+분/XSN
매입’	매입/NNG+’/SS
관행을	관행/NNG+을/JKO
원칙적으로	원칙/NNG+적/XSN+으로/JKB
금지하되,	금지/NNG+하/XSV+되/EC+,/SP
김밥	김밥/NNG
등	등/NNB
상품	상품/NNG
특성상	특성/NNG+상/XSN
필요한	필요/NNG+하/XSA+ㄴ/ETM
경우는	경우/NNG+는/JX
해소	해소/NNG
방안을	방안/NNG+을/JKO
추가	추가/NNG
검토하기로	검토/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.7.1
아울러 상생협력을 위해 중소협력사와 청년창업가를 상대로 상품개발 및 해외시장 개척 컨설팅을 해주고, 중소기업 전용매장 확대를 통해 판로 확대를 지원하기로 했다.

아울러	아울러/MAG
상생협력을	상생/NNG+협력/NNG+을/JKO
위해	위하/VV+아/EC
중소협력사와	중소/NNG+협력사/NNG+와/JC
청년창업가를	청년/NNG+창업가/NNG+를/JKO
상대로	상대/NNG+로/JKB
상품개발	상품/NNG+개발/NNG
및	및/MAG
해외시장	해외/NNG+시장/NNG
개척	개척/NNG
컨설팅을	컨설팅/NNG+을/JKO
해주고,	하/VV+아/EC+주/VX+고/EC+,/SP
중소기업	중소기업/NNG
전용매장	전용/NNG+매장/NNG
확대를	확대/NNG+를/JKO
통해	통하/VV+아/EC
판로	판로/NNG
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.7.2
또 누리집과 온라인쇼핑몰, 상품판매장을 활용해 전통시장, 맛집, 숙박업소, 관광지, 문화공연 안내 코너를 운영하고, 청년창업 및 가업승계 아카데미 운영, 전통시장 고객유입 확대 활동을 통해 지역상권 활성화를 지원하기로 했다.

또	또/MAG
누리집과	누리집/NNG+과/JC
온라인쇼핑몰,	온라인/NNG+쇼핑몰/NNG+,/SP
상품판매장을	상품/NNG+판매장/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
전통시장,	전통/NNG+시장/NNG+,/SP
맛집,	맛집/NNG+,/SP
숙박업소,	숙박업소/NNG+,/SP
관광지,	관광지/NNG+,/SP
문화공연	문화/NNG+공연/NNG
안내	안내/NNG
코너를	코너/NNG+를/JKO
운영하고,	운영/NNG+하/XSV+고/EC+,/SP
청년창업	청년/NNG+창업/NNG
및	및/MAG
가업승계	가업/NNG+승계/NNG
아카데미	아카데미/NNG
운영,	운영/NNG+,/SP
전통시장	전통/NNG+시장/NNG
고객유입	고객/NNG+유입/NNG
확대	확대/NNG
활동을	활동/NNG+을/JKO
통해	통하/VV+아/EC
지역상권	지역/NNG+상권/NNG
활성화를	활성/NNG+화/XSN+를/JKO
지원하기로	지원/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.7.3
유통업계 대표들은 공정위가 지난 8월 발표한 유통 분야 불공정거래 근절 대책도 적극적으로 수용하겠다는 의지를 밝혔다.

유통업계	유통업/NNG+계/XSN
대표들은	대표/NNG+들/XSN+은/JX
공정위가	공정위/NNG+가/JKS
지난	지나/VV+ㄴ/ETM
8월	8/SN+월/NNB
발표한	발표/NNG+하/XSV+ㄴ/ETM
유통	유통/NNG
분야	분야/NNG
불공정거래	불/XPN+공정/NNG+거래/NNG
근절	근절/NNG
대책도	대책/NNG+도/JX
적극적으로	적극/NNG+적/XSN+으로/JKB
수용하겠다는	수용/NNG+하/XSV+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000056.39.8.1
김상조 위원장은 “유통산업이 지속해서 발전하려면 유통업체와 납품업체의 경쟁력이 함께 강화돼야 하고, 이를 위해서는 유통에서 발생하는 성과가 둘 간에 합리적으로 분배되는 게 선결과제”라며 “성과가 편향적으로 분배되면 단기적으로 유통업체에 이득이 되겠지만, 납품업체의 경쟁력이 상실돼 유통업체의 동반 몰락을 부르는 부메랑이 될 것”이라고 지적했다.

김상조	김상조/NNP
위원장은	위원장/NNG+은/JX
“유통산업이	“/SS+유통/NNG+산업/NNG+이/JKS
지속해서	지속/NNG+하/XSV+아서/EC
발전하려면	발전/NNG+하/XSV+려면/EC
유통업체와	유통업체/NNG+와/JC
납품업체의	납품업체/NNG+의/JKG
경쟁력이	경쟁력/NNG+이/JKS
함께	함께/MAG
강화돼야	강화/NNG+되/XSV+어야/EC
하고,	하/VX+고/EC+,/SP
이를	이/NP+를/JKO
위해서는	위하/VV+아서/EC+는/JX
유통에서	유통/NNG+에서/JKB
발생하는	발생/NNG+하/XSV+는/ETM
성과가	성과/NNG+가/JKS
둘	둘/NR
간에	간/NNB+에/JKB
합리적으로	합리/NNG+적/XSN+으로/JKB
분배되는	분배/NNG+되/XSV+는/ETM
게	거/NNB+이/JKS
선결과제”라며	선결/NNG+과제/NNG+”/SS+이/VCP+라며/EC
“성과가	“/SS+성과/NNG+가/JKS
편향적으로	편향/NNG+적/XSN+으로/JKB
분배되면	분배/NNG+되/XSV+면/EC
단기적으로	단기/NNG+적/XSN+으로/JKB
유통업체에	유통업체/NNG+에/JKB
이득이	이득/NNG+이/JKC
되겠지만,	되/VV+겠/EP+지만/EC+,/SP
상실돼	상실/NNG+되/XSV+어/EC
유통업체의	유통업체/NNG+의/JKG
동반	동반/NNG
몰락을	몰락/NNG+을/JKO
부르는	부르/VV+는/ETM
부메랑이	부메랑/NNG+이/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.8.2
또 “우리 경제에 가장 필요한 이념은 상생이고, 특히 유통산업에서 상생의 가치가 구현되어야 한다”며 “유통업계 불공정 관행 해소에 필요한 표준계약서 보급, 법령 개정 등 제도 개선을 차질 없이 추진하겠다”고 강조했다.

또	또/MAG
“우리	“/SS+우리/NP
경제에	경제/NNG+에/JKB
가장	가장/MAG
필요한	필요/NNG+하/XSA+ㄴ/ETM
이념은	이념/NNG+은/JX
상생이고,	상생/NNG+이/VCP+고/EC+,/SP
특히	특히/MAG
유통산업에서	유통/NNG+산업/NNG+에서/JKB
상생의	상생/NNG+의/JKG
가치가	가치/NNG+가/JKS
구현되어야	구현/NNG+되/XSV+어야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
“유통업계	“/SS+유통업/NNG+계/XSN
불공정	불/XPN+공정/NNG
관행	관행/NNG
해소에	해소/NNG+에/JKB
표준계약서	표준/NNG+계약서/NNG
보급,	보급/NNG+,/SP
법령	법령/NNG
개정	개정/NNG
등	등/NNB
제도	제도/NNG
개선을	개선/NNG+을/JKO
차질	차질/NNG
없이	없이/MAG
추진하겠다”고	추진/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000056.39.9.1
이날 간담회에는 이갑수 체인스토어협회 회장, 박동운 백화점협회 회장, 이근협 티브이홈쇼핑협회 부회장, 김형준 온라인쇼핑협회 부회장, 조윤성 편의점산업협회 회장, 김도열 면세점협회 이사장 등이 참석했다.

이날	이날/NNG
간담회에는	간담회/NNG+에/JKB+는/JX
이갑수	이갑수/NNP
체인스토어협회	체인스토어협회/NNP
회장,	회장/NNG+,/SP
박동운	박동운/NNP
백화점협회	백화점협회/NNP
이근협	이근협/NNP
티브이홈쇼핑협회	티브이홈쇼핑협회/NNP
부회장,	부회장/NNG+,/SP
김형준	김형준/NNP
온라인쇼핑협회	온라인쇼핑협회/NNP
조윤성	조윤성/NNP
편의점산업협회	편의점산업협회/NNP
김도열	김도열/NNP
면세점협회	면세점협회/NNP
이사장	이사장/NNG
등이	등/NNB+이/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


