# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.358
metadata : {}


# id : NWRW1800000040.358.1.1
국토·환경장관 “4대강 보 안전 문제 없다” 청와대 지시로 이례적 합동 반박회견 의혹

국토·환경장관	국토/NNG+·/SP+환경/NNG+장관/NNG
△준설량도	△/SW+준설량/NNG+도/JX
강바닥이	강바닥/NNG+이/JKS
안정화되면	안정/NNG+화/XSN+되/XSV+면/EC
대폭	대폭/MAG
감소할	감소/NNG+하/XSV+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.358.6.4
일부 미비점이 있지만, 보강공사를 거듭해 안전에 문제가 없다는 얘기다.

일부	일부/NNG
미비점이	미비점/NNG+이/JKS
있지만,	있/VA+지만/EC+,/SP
보강공사를	보강/NNG+공사/NNG+를/JKO
거듭해	거듭/MAG+하/XSV+아/EC
안전에	안전/NNG+에/JKB
문제가	문제/NNG+가/JKS
없다는	없/VA+다는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.358.7.1
4대강 사업이 모든 부문에서 문제점투성이라는 감사원의 전날 지적에 대해 청와대는 18일에도 “해당 부처에서 적절하게 대응할 것”이라고만 밝힐 뿐 침묵을 지켰다.

4대강	4/SN+대/NNG+강/NNG
사업이	사업/NNG+이/JKS
모든	모든/MMN
부문에서	부문/NNG+에서/JKB
문제점투성이라는	문제점/NNG+투성이/XSN+이/VCP+라는/ETM
감사원의	감사원/NNG+의/JKG
전날	전날/NNG
지적에	지적/NNG+에/JKB
대해	대하/VV+아/EC
청와대는	청와대/NNP+는/JX
18일에도	18/SN+일/NNB+에/JKB+도/JX
“해당	“/SS+해당/NNG
부처에서	부처/NNG+에서/JKB
적절하게	적절하/VA+게/EC
대응할	대응/NNG+하/XSV+ㄹ/ETM
것”이라고만	것/NNB+”/SS+이라고/JKQ+만/JX
밝힐	밝히/VV+ㄹ/ETM
뿐	뿐/NNB
침묵을	침묵/NNG+을/JKO
지켰다.	지키/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.358.7.2
그러나 두 장관의 긴급 기자회견이 청와대 지시에 의한 것으로 전해지는 등 감사 결과에 대해 강한 불만을 품고 있는 것으로 알려졌다.

그러나	그러나/MAJ
두	두/MMN
장관의	장관/NNG+의/JKG
긴급	긴급/NNG
기자회견이	기자/NNG+회견/NNG+이/JKS
청와대	청와대/NNP
지시에	지시/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해지는	전하/VV+아/EC+지/VX+는/ETM
등	등/NNB
감사	감사/NNG
결과에	결과/NNG+에/JKB
대해	대하/VV+아/EC
강한	강하/VA+ㄴ/ETM
불만을	불만/NNG+을/JKO
품고	품/VV+고/EC
있는	있/VX+는/ETM
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.358.8.1
국토해양부가 감사원의 지적에 적극 반박하고 나선 것과 달리 환경부는 17일 감사원의 감사 결과 발표 뒤 감사결과를 적극 수용하겠다는 내용의 보도참고자료를 냈다가 청와대 쪽으로부터 강한 질책을 받은 것으로 전해졌다.

국토해양부가	국토/NNG+해양부/NNG+가/JKS
감사원의	감사원/NNG+의/JKG
지적에	지적/NNG+에/JKB
적극	적극/NNG
반박하고	반박/NNG+하/XSV+고/EC
나선	나서/VV+ㄴ/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
환경부는	환경부/NNG+는/JX
17일	17/SN+일/NNB
감사	감사/NNG
결과	결과/NNG
발표	발표/NNG
뒤	뒤/NNG
감사결과를	감사/NNG+결과/NNG+를/JKO
수용하겠다는	수용/NNG+하/XSV+겠/EP+다는/ETM
내용의	내용/NNG+의/JKG
보도참고자료를	보도/NNG+참고/NNG+자료/NNG+를/JKO
냈다가	내/VV+었/EP+다가/EC
청와대	청와대/NNP
쪽으로부터	쪽/NNB+으로부터/JKB
강한	강하/VA+ㄴ/ETM
질책을	질책/NNG+을/JKO
받은	받/VV+은/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000040.358.8.2
청와대의 불편한 심기를 드러내는 대목이다.

청와대의	청와대/NNP+의/JKG
불편한	불편/NNG+하/XSA+ㄴ/ETM
심기를	심기/NNG+를/JKO
드러내는	드러내/VV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000040.358.8.3
18일 기자회견에서 유영숙 장관은 “사업의 객관적 평가를 위해선 좀더 중장기적인 접근이 필요하다”면서도 “감사원 지적에 대해선 향후 수질정책을 추진함에 있어 적극 검토하겠다”고 밝혀 사실상 감사원의 수질 문제 지적을 인정했다.

18일	18/SN+일/NNB
기자회견에서	기자/NNG+회견/NNG+에서/JKB
유영숙	유영숙/NNP
장관은	장관/NNG+은/JX
“사업의	“/SS+사업/NNG+의/JKG
객관적	객관/NNG+적/XSN
평가를	평가/NNG+를/JKO
위해선	위하/VV+아서/EC+ㄴ/JX
좀더	좀/MAG+더/MAG
중장기적인	중장기/NNG+적/XSN+이/VCP+ㄴ/ETM
접근이	접근/NNG+이/JKS
필요하다”면서도	필요/NNG+하/XSA+다/EF+”/SS+면서/EC+도/JX
“감사원	“/SS+감사원/NNG
지적에	지적/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
향후	향후/NNG
수질정책을	수질/NNG+정책/NNG+을/JKO
추진함에	추진/NNG+하/XSV+ㅁ/ETN+에/JKB
있어	있/VA+어/EC
적극	적극/NNG
검토하겠다”고	검토/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
밝혀	밝히/VV+어/EC
사실상	사실/NNG+상/XSN
감사원의	감사원/NNG+의/JKG
수질	수질/NNG
문제	문제/NNG
지적을	지적/NNG+을/JKO
인정했다.	인정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.358.8.4
환경부 관계자는 “우리 부는 감사원과 논쟁하기보다 지적의 취지를 잘 받아서 수질개선을 위해 노력하는 것이 중요하다고 본 것인데, 다르게 생각하는 쪽도 있는 것 같다”고 말했다.

환경부	환경부/NNG
관계자는	관계자/NNG+는/JX
“우리	“/SS+우리/NP
부는	부/NNG+는/JX
감사원과	감사원/NNG+과/JKB
논쟁하기보다	논쟁/NNG+하/XSV+기/ETN+보다/JKB
지적의	지적/NNG+의/JKG
취지를	취지/NNG+를/JKO
잘	잘/MAG
받아서	받/VV+아서/EC
수질개선을	수질/NNG+개선/NNG+을/JKO
위해	위하/VV+아/EC
노력하는	노력/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
중요하다고	중요/NNG+하/XSA+다고/EC
본	보/VV+ㄴ/ETM
것인데,	것/NNB+이/VCP+ㄴ데/EC+,/SP
다르게	다르/VA+게/EC
생각하는	생각/NNG+하/XSV+는/ETM
쪽도	쪽/NNB+도/JX
있는	있/VA+는/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


