# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.97
metadata : {}


# id : NWRW1800000038.97.1.1
[영화 리뷰] 셜리에 관한 모든 것

[영화	[/SS+영화/NNG
궁금증에	궁금증/NNG+에/JKB
영화적	영화/NNG+적/XSN
상상력을	상상력/NNG+을/JKO
불어넣었다.	불어넣/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.97.5.2
'그림 속 여자'에게 셜리(스테파니 커밍)란 이름과 배우라는 직업을 붙여주고, 그의 인생 중 1931년에서 1963년까지를 호퍼의 그림 13점을 배경으로 보여준다.

'그림	'/SS+그림/NNG
속	속/NNG
여자'에게	여자/NNG+'/SS+에게/JKB
셜리(스테파니	셜리/NNP+(/SS+스테파니/NNP
커밍)란	커밍/NNP+)/SS+이/VCP+란/ETM
이름과	이름/NNG+과/JC
배우라는	배우/NNG+이/VCP+라는/ETM
직업을	직업/NNG+을/JKO
붙여주고,	붙이/VV+어/EC+주/VX+고/EC+,/SP
그의	그/NP+의/JKG
인생	인생/NNG
중	중/NNB
1931년에서	1931/SN+년/NNB+에서/JKB
1963년까지를	1963/SN+년/NNB+까지/JX+를/JKO
호퍼의	호퍼/NNP+의/JKG
그림	그림/NNG
13점을	13/SN+점/NNB+을/JKO
배경으로	배경/NNG+으로/JKB
보여준다.	보이/VV+어/EC+주/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.97.5.3
전 세계를 강타한 경제대공황과 제2차세계대전의 여파가 아직 남아 있던 시기, 고독과 권태에 시달리던 도시의 가장 사실적인 표정을 담기에 호퍼의 그림만 한 게 어디 있을까.

전	전/MMN
세계를	세계/NNG+를/JKO
강타한	강타/NNG+하/XSV+ㄴ/ETM
경제대공황과	경제/NNG+대/XPN+공황/NNG+과/JC
제2차세계대전의	제/XPN+2/SN+차/NNB+세계/NNG+대전/NNG+의/JKG
여파가	여파/NNG+가/JKS
아직	아직/MAG
남아	남/VV+아/EC
있던	있/VX+던/ETM
시기,	시기/NNG+,/SP
고독과	고독/NNG+과/JC
권태에	권태/NNG+에/JKB
시달리던	시달리/VV+던/ETM
도시의	도시/NNG+의/JKG
가장	가장/MAG
사실적인	사실/NNG+적/XSN+이/VCP+ㄴ/ETM
표정을	표정/NNG+을/JKO
담기에	담/VV+기/ETN+에/JKB
호퍼의	호퍼/NNP+의/JKG
그림만	그림/NNG+만/JX
한	하/VA+ㄴ/ETM
게	거/NNB+이/JKS
어디	어디/NP
있을까.	있/VA+을까/EF+./SF


# id : NWRW1800000038.97.6.1
20세기 중반의 미국 사회를 호퍼의 그림에 담으려는 상상력은 이 영화에서 별로 의미를 갖지 못한다.

20세기	20/SN+세기/NNG
중반의	중반/NNG+의/JKG
미국	미국/NNP
사회를	사회/NNG+를/JKO
호퍼의	호퍼/NNP+의/JKG
그림에	그림/NNG+에/JKB
담으려는	담/VV+으려는/ETM
상상력은	상상력/NNG+은/JX
이	이/MMD
영화에서	영화/NNG+에서/JKB
별로	별로/MAG
의미를	의미/NNG+를/JKO
갖지	갖/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.97.6.2
이상주의자인 셜리의 다소 고답적인 대사는 화면에 녹아들지 못하고 대공황, 매카시즘과 마틴 루서 킹의 인권운동 등을 다 반영하려는 의도는 결국 백과사전식 언급 이상의 기능을 갖지 못한다.

이상주의자인	이상주의자/NNG+이/VCP+ㄴ/ETM
셜리의	셜리/NNP+의/JKG
다소	다소/MAG
고답적인	고답/NNG+적/XSN+이/VCP+ㄴ/ETM
대사는	대사/NNG+는/JX
화면에	화면/NNG+에/JKB
녹아들지	녹아들/VV+지/EC
못하고	못하/VX+고/EC
대공황,	대/XPN+공황/NNG+,/SP
매카시즘과	매카시즘/NNG+과/JC
마틴	마틴/NNP
루서	루서/NNP
킹의	킹/NNP+의/JKG
인권운동	인권/NNG+운동/NNG
등을	등/NNB+을/JKO
다	다/MAG
반영하려는	반영/NNG+하/XSV+려는/ETM
의도는	의도/NNG+는/JX
결국	결국/NNG
백과사전식	백과사전식/NNG
언급	언급/NNG
이상의	이상/NNG+의/JKG
기능을	기능/NNG+을/JKO
갖지	갖/VV+지/EC
못한다.	못하/VX+ㄴ다/EF+./SF


# id : NWRW1800000038.97.6.3
하지만 일상의 리얼리즘을 담은 호퍼의 작품이 현실 공간에 재현되는 것, 그리고 그것을 영화관 스크린으로 본다는 것만으로도 극장표 값 이상의 가치를 충분히 하는 영화다.

하지만	하지만/MAJ
일상의	일상/NNG+의/JKG
리얼리즘을	리얼리즘/NNG+을/JKO
담은	담/VV+은/ETM
호퍼의	호퍼/NNP+의/JKG
작품이	작품/NNG+이/JKS
현실	현실/NNG
공간에	공간/NNG+에/JKB
재현되는	재현/NNG+되/XSV+는/ETM
것,	것/NNB+,/SP
그리고	그리고/MAJ
그것을	그것/NP+을/JKO
영화관	영화관/NNG
스크린으로	스크린/NNG+으로/JKB
본다는	보/VV+ㄴ다는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
극장표	극장표/NNG
값	값/NNG
이상의	이상/NNG+의/JKG
가치를	가치/NNG+를/JKO
충분히	충분히/MAG
하는	하/VV+는/ETM
영화다.	영화/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.97.6.4
특히 넓은 창문으로 들어오는 잘 재단된 빛과 그림자가 화면에서 뒤엉킬 때, 극장의 공기마저 바뀌는 것 같은 기분이다.

특히	특히/MAG
넓은	넓/VA+은/ETM
창문으로	창문/NNG+으로/JKB
들어오는	들어오/VV+는/ETM
잘	잘/MAG
재단된	재단/NNG+되/XSV+ㄴ/ETM
빛과	빛/NNG+과/JC
그림자가	그림자/NNG+가/JKS
화면에서	화면/NNG+에서/JKB
뒤엉킬	뒤엉키/VV+ㄹ/ETM
때,	때/NNG+,/SP
극장의	극장/NNG+의/JKG
공기마저	공기/NNG+마저/JX
바뀌는	바뀌/VV+는/ETM
것	것/NNB
같은	같/VA+은/ETM
기분이다.	기분/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.97.6.5
모든 장면은 완벽하게 연출된 세트에서 촬영됐으며, 세트의 배경은 모두 그림이다.

모든	모든/MMN
장면은	장면/NNG+은/JX
완벽하게	완벽/NNG+하/XSA+게/EC
연출된	연출/NNG+되/XSV+ㄴ/ETM
세트에서	세트/NNG+에서/JKB
촬영됐으며,	촬영/NNG+되/XSV+었/EP+으며/EC+,/SP
세트의	세트/NNG+의/JKG
배경은	배경/NNG+은/JX
모두	모두/MAG
그림이다.	그림/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.97.6.6
일부 의자나 침대와 같은 소품은 현실의 그것보다 훨씬 크거나 작은데, 그림과 비슷해 보이도록 착시 효과를 노려 만들었다.

일부	일부/NNG
의자나	의자/NNG+나/JC
침대와	침대/NNG+와/JKB
같은	같/VA+은/ETM
소품은	소품/NNG+은/JX
현실의	현실/NNG+의/JKG
그것보다	그것/NP+보다/JKB
훨씬	훨씬/MAG
크거나	크/VA+거나/EC
작은데,	작/VA+은데/EC+,/SP
그림과	그림/NNG+과/JKB
비슷해	비슷하/VA+아/EC
보이도록	보이/VV+도록/EC
착시	착시/NNG
효과를	효과/NNG+를/JKO
노려	노리/VV+어/EC
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.97.6.7
26일 개봉.

26일	26/SN+일/NNB
개봉.	개봉/NNG+./SF


# id : NWRW1800000038.97.6.8
15세 이상 관람가.

15세	15/SN+세/NNB
이상	이상/NNG
관람가.	관람/NNG+가/NNG+./SF


